Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF/20V,CP_EIA-7343-31_Kemet-D_HandSolder,171.4075,-88.75,0.0,top
C2,0.1uF/25V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.75,-87.5,180.0,top
C3,0.1uF/25V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,163.0,-94.0,-90.0,top
C4,4.7uF/250V,CP_Elec_8x10.5,127.5,-87.75,180.0,top
C5,0.1uF/250V,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,137.25,-88.75,90.0,top
D1,ES2F,D_SMB-SMC_Universal_Handsoldering,144.0,-86.05,90.0,top
J1,Conn_01x11_Pin,PinHeader_1x11_P2.54mm_Vertical,178.25,-109.55,180.0,top
J2,PJ-002B,CUI_PJ-002B,175.0375,-73.3125,90.0,top
J3,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",163.005001,-67.5775,180.0,top
J4,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",126.0,-75.289999,-90.0,top
L1,100uH,L_12x12mm_H6mm,147.200001,-71.75,180.0,top
Q1,MPSA42,TO-92,125.02,-121.975,0.0,top
Q10,MPSA42,TO-92,162.000001,-123.135,180.0,top
Q11,MPSA42,TO-92,125.27,-113.365,0.0,top
Q12,IRF740,TO-220-3_Vertical,155.999999,-83.545,0.0,top
Q2,MPSA42,TO-92,141.135,-96.75,-90.0,top
Q3,MPSA42,TO-92,125.27,-107.865,0.0,top
Q4,MPSA42,TO-92,162.250001,-102.885,180.0,top
Q5,MPSA42,TO-92,125.27,-102.115,0.0,top
Q6,MPSA42,TO-92,164.385,-109.25,-90.0,top
Q7,MPSA42,TO-92,129.0,-96.454999,0.0,top
Q8,MPSA42,TO-92,164.385,-115.98,-90.0,top
Q9,MPSA42,TO-92,135.385,-96.73,-90.0,top
R1,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.8,-120.0,180.0,top
R10,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.8,-117.4,180.0,top
R11,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.8,-122.6,180.0,top
R12,1M5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.7125,-90.5,0.0,top
R13,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,158.907107,-96.692893,45.0,top
R14,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.0,-118.0,180.0,top
R2,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.75,-107.0,180.0,top
R3,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.75,-96.5,180.0,top
R4,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.75,-109.6,180.0,top
R5,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.75,-99.25,180.0,top
R6,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.8,-112.2,180.0,top
R7,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.75,-102.0,180.0,top
R8,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.8,-114.8,180.0,top
R9,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,173.75,-104.5,180.0,top
RV1,3386P-1-502LF,Potentiometer_Bourns_3386P_Vertical,150.539999,-99.27,-90.0,top
R_SENSE1,0.05R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,164.4,-84.2,0.0,top
U1,MAX1771xSA,SO-8_3.9x4.9mm_P1.27mm,160.125,-88.985,0.0,top
