"Reference","Value","MFR Part No.","DigiKey Part No.","LCSC Part No.","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1","100uF/20V","","478-6066-2-ND","C122302","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_HandSolder","","1","","",""
"C2,C3","0.1uF/25V","","478-KGM21NR71E104KTTR-ND","C396718","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","2","","",""
"C4","4.7uF/250V","","493-9983-2-ND","","Capacitor_SMD:CP_Elec_8x10.5","","1","","",""
"C5","0.1uF/250V","","1292-1617-2-ND","C52020","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","1","","",""
"D1","ES2F","ES2GB","1801-ES2FTR-ND","C2844160","Diode_SMD:D_SMB-SMC_Universal_Handsoldering","~","1","","",""
"J1","Conn_01x11_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","~","1","","",""
"J2","PJ-002B","PJ-002B","CP-002B-ND","C22359705","barrel_jack:CUI_PJ-002B","~","1","","",""
"J3,J4","Screw_Terminal_01x02","MKDS 1,5/ 2-5,08","277-1548128-ND","C5183929","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","2","","",""
"L1","100uH","","SRR1260-101MTR-ND","C2962892","Inductor_SMD:L_12x12mm_H6mm","~","1","","",""
"NX1","IN-12BIN-12-DSUB","","","","nixies-us:nixies-us-IN-12-DSUB","","1","","",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11","MPSA42","MPSA42","MPSA42FS-ND","C305411","Package_TO_SOT_THT:TO-92","http://www.onsemi.com/pub_link/Collateral/MPSA42-D.PDF","11","","",""
"Q12","IRF740","IRF740PBF","IRF740PBF-ND","C34373758","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.vishay.com/docs/91054/91054.pdf","1","","",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11","2.2k","","A106060TR-ND","C269724","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","11","","",""
"R12","1M5","","RHM1.5MKTR-ND","125mW Thick Film Resistor ±200ppm/℃ ±1% 1.5MΩ 0805 Chip Resistor - Surface Mount ROHS","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R13","10k","","2019-RK73H2ATTD1002FTR-ND","C269724","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R14","22k","","A129765TR-ND","C269724","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"RV1","3386P-1-502LF","3386P-1-502LF","3386P-502LF-ND","C22461636","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","~","1","","",""
"R_SENSE1","0.05R","","HCS1206FTL500TR-ND","C149662","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","1","","",""
"U1","MAX1771xSA","MAX1771","MAX1771CSA+TR-ND","C407903","Package_SO:SO-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX1771.pdf","1","","",""
